Designator,Mid X,Mid Y,Layer,Rotation
C2,6.59,32.69,Top,180.0
C3,4.57,25.87,Top,90.0
C11,4.18,18.09,Top,90.0
C12,2.02,18.09,Top,90.0
C13,14.73,15.96,Top,0.0
C14,4.57,6.31,Top,90.0
C15,10.66,7.36,Top,90.0
C16,6.85,13.26,Top,0.0
D3,24.75,28.38,Top,270.0
D4,20.44,17.20,Top,0.0
L3,15.61,26.85,Top,270.0
L4,19.29,7.55,Top,270.0
R7,1.13,14.28,Top,90.0
R9,3.67,13.26,Top,180.0
R12,3.67,15.42,Top,0.0
