Comment,Designator,Footprint,LCSC Part #
1nF,C16,C0603,C1588
2.49k,R12,R0603,C108190
18k,R9,R0603,C25810
22k,R7,R0603,C31850
22nF,C12,C0603,C21122
50V 100uF,C3 C14,CAPAE830X1050N,C2983307
100pF,C11,C0603,C14858
220nF,C2 C13 C15,C0603,C21120
S1M-E3_5AT,D3,DIOM5127X229N,C968552
SRR1260-101M,L3 L4,SRR1260101M,C5127262
SSB44-E3_5BT,D4,DIOM5436X244N,C151740
